2018-11-12 11:46:09,381 INFO  [main] com.stackroute.RegistrationApplication : Starting RegistrationApplication on DESKTOP-KQNNCEO with PID 18344 (C:\Users\Ram\Desktop\RegistrationService\target\classes started by Ram in C:\Users\Ram\Desktop\RegistrationService)
2018-11-12 11:46:09,399 DEBUG [main] com.stackroute.RegistrationApplication : Running with Spring Boot v2.1.0.RELEASE, Spring v5.1.2.RELEASE
2018-11-12 11:46:09,407 INFO  [main] com.stackroute.RegistrationApplication : No active profile set, falling back to default profiles: default
2018-11-12 11:46:10,766 INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$f32ced5e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-12 11:46:11,541 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http)
2018-11-12 11:46:11,574 INFO  [main] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2018-11-12 11:46:11,574 INFO  [main] org.apache.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/9.0.12
2018-11-12 11:46:11,586 INFO  [main] org.apache.catalina.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk-10.0.2\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;.;C:\Program Files\Java\jdk-10.0.2\bin;C:\Program Files\MySQL\MySQL Server 8.0\bin\bin...;C:\Program Files\MySQL\MySQL Server 8.0\bin;C:\Ruby24-x64\bin;C:\Users\Ram\AppData\Local\Microsoft\WindowsApps;C:\Users\Ram\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\Ram\AppData\Roaming\npm;C:\Program Files\MongoDB\Server\4.0\bin;C:\Program Files\nodejs;;C:\Program Files\Docker Toolbox;.]
2018-11-12 11:46:11,709 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2018-11-12 11:46:11,709 INFO  [main] org.springframework.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 2209 ms
2018-11-12 11:46:11,748 INFO  [main] org.springframework.boot.web.servlet.ServletRegistrationBean : Servlet dispatcherServlet mapped to [/]
2018-11-12 11:46:11,757 INFO  [main] org.springframework.boot.web.servlet.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*]
2018-11-12 11:46:11,758 INFO  [main] org.springframework.boot.web.servlet.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-11-12 11:46:11,758 INFO  [main] org.springframework.boot.web.servlet.FilterRegistrationBean : Mapping filter: 'formContentFilter' to: [/*]
2018-11-12 11:46:11,759 INFO  [main] org.springframework.boot.web.servlet.FilterRegistrationBean : Mapping filter: 'requestContextFilter' to: [/*]
2018-11-12 11:46:12,067 INFO  [main] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2018-11-12 11:46:12,395 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path ''
2018-11-12 11:46:12,400 INFO  [main] com.stackroute.RegistrationApplication : Started RegistrationApplication in 4.008 seconds (JVM running for 4.894)
